eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
1000.0,387.656545,504,0.02882874,0.32092285,8.0636425,0.0038345251,7.4888544,0.28851765394210815,380,778240,1529.4788375629996,778240
1000.0,415.68727418,503,0.0115552405,0.17993164,8.085979,-0.00076860224,7.538949,0.022519230842590332,390,798720,1570.0133299289992,798720
1000.0,417.12558986000005,507,0.009449822,0.13208008,8.113637,-0.0001242396,7.911804,0.49754589796066284,400,819200,1610.275431729,819200
1000.0,414.83902091,501,0.00676704,0.08508301,8.116448,0.003275494,8.558752,0.5412580966949463,410,839680,1650.5725519049993,839680
1000.0,415.8411260999999,500,0.009387852,0.13061523,8.128152,0.0011504627,8.592789,0.19140625,420,860160,1691.0671142680003,860160
1000.0,455.24201448,502,0.020998718,0.26782227,8.12004,-0.0012723848,7.467158,0.07259261608123779,430,880640,1731.4861491440006,880640
1000.0,455.1209905799999,508,0.014139401,0.21020508,8.134753,-0.0031650313,8.000759,0.15033066272735596,440,901120,1771.491177541,901120
1000.0,456.60424228999995,504,0.016436812,0.23400879,8.1338825,-0.0019559413,7.324445,0.07441860437393188,450,921600,1812.1140274680001,921600
1000.0,461.19477817,503,0.0066691395,0.08666992,8.163557,0.00082961476,8.211981,0.19208931922912598,460,942080,1852.6960507919994,942080
1000.0,446.56802454000007,504,0.015017216,0.20166016,8.13463,-0.0012532852,7.892253,0.2099856734275818,470,962560,1893.0859221419996,962560
1000.0,387.25789448999996,508,0.0066459333,0.08544922,8.136747,-0.0016884526,11.77449,0.1408432126045227,480,983040,1933.5350709239992,983040
1000.0,350.1529235,508,0.010906445,0.16662598,8.151691,-0.004020217,11.951906,0.3404272198677063,490,1003520,1973.783698141,1003520
1000.0,334.16719373,510,0.011130211,0.16955566,8.162885,-0.0017288749,12.686945,0.23336642980575562,500,1024000,2013.8840073680003,1024000
1000.0,335.32801714,504,0.008050744,0.10864258,8.165729,-0.00030069053,8.499501,0.10659241676330566,510,1044480,2054.596586382,1044480
1000.0,349.18674694000003,507,0.00743572,0.103759766,8.16188,-0.00039017154,9.183443,0.09531569480895996,520,1064960,2094.927092447,1064960
1000.0,389.43782410000006,505,0.008582487,0.122680664,8.169589,-0.0023314115,8.57326,0.21118181943893433,530,1085440,2135.128892928,1085440
1000.0,427.05964478999994,504,0.015150937,0.22265625,8.162751,-0.005247142,8.295164,0.10946613550186157,540,1105920,2175.4919692189997,1105920
1000.0,445.3588805000001,502,0.02507808,0.31323242,8.186169,-0.0012851066,8.66605,0.16414302587509155,550,1126400,2215.881492994,1126400
1000.0,445.3819348799999,513,0.009309371,0.13671875,8.152811,-0.0015284034,8.495914,0.1688593626022339,560,1146880,2256.0700528380003,1146880
1000.0,426.52825462999994,507,0.006254146,0.07861328,8.201064,0.0009086495,8.248418,0.24813508987426758,570,1167360,2296.5636638979995,1167360
1000.0,406.3512185900001,509,0.010542108,0.15490723,8.201098,-0.0035954497,9.196937,0.23242944478988647,580,1187840,2336.6629124989995,1187840
1000.0,358.9356710799999,510,0.007057333,0.08959961,8.214607,0.001596957,9.043394,0.21222388744354248,590,1208320,2376.8689378540003,1208320
1000.0,319.2117135700001,501,0.0066968594,0.08630371,8.200197,-0.0010097987,240.08443,0.6026593744754791,600,1228800,2417.319661021,1228800
1000.0,279.58081615,507,0.012992656,0.1973877,8.203629,-5.947461e-05,10.280435,0.23001223802566528,610,1249280,2457.4374563460005,1249280
1000.0,301.06670098,506,0.009876348,0.14111328,8.222112,0.0023519825,9.132226,0.10468077659606934,620,1269760,2497.540117344999,1269760
1000.0,364.70157571000004,503,0.010879201,0.1574707,8.211193,0.00032874377,9.24201,0.08873295783996582,630,1290240,2537.961139335999,1290240
1000.0,312.26138283,505,0.009037108,0.13195801,8.223129,-0.00018872926,9.364305,0.017261087894439697,640,1310720,2578.3198663580006,1310720
1000.0,322.5445988,516,0.009106785,0.123046875,8.22307,-0.0023953973,9.297745,0.18320608139038086,650,1331200,2618.304389969,1331200
1000.0,363.51627526,506,0.009642191,0.14331055,8.203045,-0.0013258972,10.385668,0.20576441287994385,660,1351680,2658.608943658999,1351680
1000.0,365.10977299,512,0.016194504,0.23413086,8.201759,0.0011780062,9.360903,0.28003281354904175,670,1372160,2698.7382919129996,1372160
1000.0,367.84905704000005,509,0.012879147,0.2019043,8.218945,0.0008087294,9.764774,0.14420795440673828,680,1392640,2738.7734724050006,1392640
