# {"t_start": 1587161644.6280663, "env_id": "HalfCheetahBulletEnv-v0"} 
r,l,t
-394.658753,1000,298.083659
-419.317325,1000,299.886706
-1459.465928,1000,302.023288
-291.764277,1000,303.86418
-189.761416,1000,305.913483
-1515.546562,1000,307.876231
-1520.481616,1000,310.012001
-1333.061413,1000,311.937302
-298.137452,1000,313.95218
-1473.070503,1000,315.916265
-288.681145,1000,317.947636
-425.83203,1000,319.759183
-1482.162023,1000,321.900801
-1326.564132,1000,323.820021
-1218.498282,1000,325.939399
-327.756853,1000,327.772528
-216.275873,1000,329.812701
-1283.3503,1000,331.819212
-264.918769,1000,333.901455
-301.278874,1000,335.730578
-1135.636163,1000,337.631623
-1128.260004,1000,339.757439
-319.764676,1000,341.621664
-1045.738657,1000,343.721619
-287.079665,1000,345.541425
-966.820421,1000,347.612783
-318.680351,1000,349.431875
-278.898971,1000,351.458873
-326.324348,1000,353.251716
-349.898902,1000,355.269751
-323.24337,1000,357.119652
-151.479148,1000,359.161797
-1056.796944,1000,361.050518
-1126.08249,1000,363.184731
-967.836855,1000,365.079145
-259.235376,1000,367.111131
-200.819533,1000,368.919956
-956.082457,1000,370.982778
-784.869986,1000,372.895119
-557.047578,1000,374.964714
-871.889681,1000,376.827223
-260.130018,1000,378.846199
-773.174041,1000,380.717725
-454.187098,1000,382.72292
-269.572339,1000,384.540573
-219.066986,1000,386.544667
-182.484665,1000,388.386543
-747.606667,1000,390.504613
-772.472661,1000,392.382518
-284.621927,1000,394.433325
-698.447976,1000,396.266366
-272.008794,1000,398.2997
-421.747525,1000,400.133877
-206.95667,1000,402.183971
-219.022855,1000,404.049966
-748.07689,1000,406.121431
-700.867027,1000,407.962219
-154.607964,1000,409.993248
-775.377962,1000,411.879948
-268.92226,1000,413.882076
-289.434274,1000,415.729628
-293.833017,1000,417.751478
-230.782513,1000,419.608619
-259.510979,1000,421.449944
-202.572349,1000,423.468982
-855.816177,1000,425.363705
-732.443502,1000,427.443985
-815.107769,1000,429.319837
-308.758114,1000,431.352528
-201.399147,1000,433.212125
-303.531806,1000,435.232434
-1198.777468,1000,437.108519
-175.106773,1000,439.130283
-230.593291,1000,440.948626
-1062.864048,1000,443.0792
-1218.558927,1000,444.988266
-322.156671,1000,446.992242
-1033.934099,1000,448.913125
-908.56786,1000,451.038811
-836.895404,1000,452.984055
-648.319037,1000,455.052718
-743.213229,1000,456.930171
-755.440946,1000,459.008682
-205.036497,1000,460.819222
-282.898873,1000,462.851833
-107.855504,1000,464.676666
-196.773461,1000,466.706619
-829.918974,1000,468.598264
-816.774587,1000,470.707267
-174.041722,1000,472.499648
-157.29762,1000,474.534768
-704.357593,1000,476.420417
-139.546477,1000,478.49605
-705.610548,1000,480.390932
-570.804803,1000,482.508425
-208.743997,1000,484.325564
-226.249996,1000,486.387071
-694.432904,1000,488.283294
-585.42965,1000,490.337738
-109.65481,1000,492.171241
-692.640313,1000,494.239069
-181.517062,1000,496.090605
-628.54928,1000,498.163211
-248.080222,1000,500.000045
-219.380615,1000,501.829161
-160.774887,1000,503.862906
-232.208207,1000,505.671614
-110.336007,1000,507.695312
-659.042921,1000,509.59322
-198.624141,1000,511.697525
-236.647623,1000,513.578451
-268.651123,1000,515.611412
-723.647586,1000,517.479342
-148.659869,1000,519.546834
-240.043748,1000,521.374534
-181.460284,1000,523.4439
-755.547995,1000,525.359152
-676.558658,1000,527.442248
-542.883477,1000,529.311213
-538.749118,1000,531.392323
-401.510312,1000,533.268278
-350.831216,1000,535.353275
-268.990115,1000,537.171895
-162.187051,1000,539.254318
-190.76329,1000,541.095607
-193.354504,1000,543.124375
173.788609,1000,544.979059
-267.585021,1000,546.977996
-248.157279,1000,548.793617
165.757518,1000,550.889019
181.399186,1000,552.792438
224.428552,1000,554.847192
348.399284,1000,556.745022
-96.191604,1000,558.786265
-3.204849,1000,560.604979
-175.022854,1000,562.653488
-466.436085,1000,564.46858
-157.44403,1000,566.499247
-142.555578,1000,568.316468
-170.834419,1000,570.364103
-165.676844,1000,572.227937
234.496609,1000,574.372092
-281.325966,1000,576.228061
-217.348999,1000,578.252365
307.520925,1000,580.091155
353.647761,1000,582.144748
-112.190789,1000,584.021054
22.40242,1000,585.814008
-170.167561,1000,587.850407
352.431785,1000,589.717474
-49.03325,1000,591.765288
347.175346,1000,593.593951
31.001101,1000,595.637717
-95.663703,1000,597.499523
-6.678763,1000,599.525632
403.443228,1000,601.379169
11.103291,1000,603.428426
-93.327411,1000,605.237111
381.705075,1000,607.251868
-147.017899,1000,609.069376
-101.009628,1000,611.080477
428.731795,1000,612.928914
432.689825,1000,614.964589
389.716803,1000,616.799443
-104.040197,1000,618.865077
-260.753094,1000,620.71248
-104.594593,1000,622.736829
339.556224,1000,624.609565
279.914608,1000,626.676854
-97.472961,1000,628.512368
330.142087,1000,630.589198
-213.594102,1000,632.494
421.931976,1000,634.616987
-192.121857,1000,636.476359
354.790718,1000,638.527854
-294.136006,1000,640.407675
330.462115,1000,642.468502
404.694377,1000,644.348428
-106.831636,1000,646.392021
330.926517,1000,648.220835
-46.455359,1000,650.300069
438.497082,1000,652.165497
-147.615457,1000,654.179132
149.726402,1000,656.069494
446.44016,1000,658.119046
158.693495,1000,659.981323
-112.538433,1000,662.015445
407.423434,1000,663.863237
396.396958,1000,665.928932
-76.549362,1000,667.7201
440.231497,1000,669.554895
225.963732,1000,671.503466
295.430488,1000,673.346646
132.073914,1000,675.324085
428.582055,1000,677.215466
